TIME,{V(D)}
0.00000000e+00,1.80000000e+00
5.00000000e-05,1.79999940e+00
7.50000000e-05,1.79997284e+00
9.75000000e-05,1.79946063e+00
1.16128089e-04,1.79635488e+00
1.32057210e-04,1.78834515e+00
1.45612888e-04,1.77652776e+00
1.57785068e-04,1.76291174e+00
1.68740030e-04,1.74951045e+00
1.79694992e-04,1.73613623e+00
1.90649954e-04,1.72362966e+00
2.01604916e-04,1.71258924e+00
2.12559879e-04,1.70342305e+00
2.23514841e-04,1.69640326e+00
2.34469803e-04,1.69170590e+00
2.45424765e-04,1.68943573e+00
2.56379727e-04,1.68964006e+00
2.67334689e-04,1.69231471e+00
2.78289652e-04,1.69740351e+00
2.89244614e-04,1.70479116e+00
3.00199576e-04,1.71428785e+00
3.11154538e-04,1.72560220e+00
3.22109500e-04,1.73830166e+00
3.33064462e-04,1.75174264e+00
3.44019424e-04,1.76504956e+00
3.54974387e-04,1.77712523e+00
3.65929349e-04,1.78687150e+00
3.76884311e-04,1.79361435e+00
3.87839273e-04,1.79744672e+00
3.98794235e-04,1.79917361e+00
4.20704159e-04,1.79994939e+00
4.42614084e-04,1.79999853e+00
4.64524008e-04,1.79999950e+00
4.86433932e-04,1.80000043e+00
5.30253781e-04,1.79999956e+00
5.74073630e-04,1.80000043e+00
6.13511493e-04,1.79999956e+00
6.48739716e-04,1.80000043e+00
6.80445116e-04,1.79999956e+00
7.08979976e-04,1.80000044e+00
7.34661350e-04,1.79999956e+00
7.60342724e-04,1.80000044e+00
7.86024098e-04,1.79999956e+00
8.11705472e-04,1.80000044e+00
8.37386846e-04,1.79999956e+00
8.63068220e-04,1.80000044e+00
8.88749594e-04,1.79999956e+00
9.14430968e-04,1.80000044e+00
9.40112343e-04,1.79999956e+00
9.65793717e-04,1.80000044e+00
9.91475091e-04,1.79999956e+00
1.04283784e-03,1.80000025e+00
1.09420059e-03,1.79963737e+00
1.10147639e-03,1.79914772e+00
1.10875219e-03,1.79816178e+00
1.12330380e-03,1.79352398e+00
1.13785540e-03,1.78382400e+00
1.15240701e-03,1.76918073e+00
1.16695861e-03,1.75171388e+00
1.18151022e-03,1.73398491e+00
1.19606182e-03,1.71796336e+00
1.21061343e-03,1.70490105e+00
1.22516503e-03,1.69554400e+00
1.23971664e-03,1.69031141e+00
1.25426825e-03,1.68940784e+00
1.26881985e-03,1.69286486e+00
1.28337146e-03,1.70055437e+00
1.29792306e-03,1.71215311e+00
1.31247467e-03,1.72706963e+00
1.32702627e-03,1.74428661e+00
1.34157788e-03,1.76215005e+00
1.35612948e-03,1.77827897e+00
1.37068109e-03,1.79017956e+00
1.38523269e-03,1.79676375e+00
1.39978430e-03,1.79926095e+00
1.41433590e-03,1.79987926e+00
1.42888751e-03,1.79998480e+00
1.45799072e-03,1.79999964e+00
1.48709393e-03,1.80000019e+00
1.51619714e-03,1.79999980e+00
1.57440356e-03,1.80000019e+00
1.58246783e-03,1.80000000e+00
1.59053210e-03,1.80000000e+00
1.60666063e-03,1.80000000e+00
1.62278916e-03,1.80000000e+00
1.63891770e-03,1.80000000e+00
1.65504623e-03,1.80000000e+00
1.67117477e-03,1.80000000e+00
1.68730330e-03,1.80000000e+00
1.70343184e-03,1.80000000e+00
1.71956037e-03,1.80000000e+00
1.73568890e-03,1.80000000e+00
1.75181744e-03,1.80000000e+00
1.76794597e-03,1.80000000e+00
1.78407451e-03,1.80000000e+00
1.80020304e-03,1.80000000e+00
1.81633158e-03,1.80000000e+00
1.83246011e-03,1.80000000e+00
1.84858864e-03,1.80000000e+00
1.86471718e-03,1.80000000e+00
1.88084571e-03,1.80000000e+00
1.89697425e-03,1.80000000e+00
1.91310278e-03,1.80000000e+00
1.92923132e-03,1.80000000e+00
1.94535985e-03,1.80000000e+00
1.97761692e-03,1.80000000e+00
2.04213106e-03,1.79999983e+00
2.05133759e-03,1.79999926e+00
2.06975067e-03,1.79998743e+00
2.10657681e-03,1.79852502e+00
2.13972035e-03,1.78219288e+00
2.16830747e-03,1.75004548e+00
2.19403588e-03,1.72003856e+00
2.21976429e-03,1.69855230e+00
2.24291986e-03,1.68973747e+00
2.26607544e-03,1.69188292e+00
2.28923101e-03,1.70478062e+00
2.31238658e-03,1.72697092e+00
2.33554215e-03,1.75480052e+00
2.35869772e-03,1.78074592e+00
2.38185329e-03,1.79567684e+00
2.40500886e-03,1.79960095e+00
2.42816443e-03,1.79998288e+00
2.45132000e-03,1.79999951e+00
2.47447557e-03,1.79999999e+00
2.52078671e-03,1.79999999e+00
2.56709786e-03,1.80000000e+00
2.61340900e-03,1.80000000e+00
2.65084451e-03,1.80000000e+00
2.68255765e-03,1.80000000e+00
2.71109948e-03,1.80000000e+00
2.73678712e-03,1.80000000e+00
2.76247477e-03,1.80000000e+00
2.78816241e-03,1.80000000e+00
2.81385005e-03,1.80000000e+00
2.83953770e-03,1.80000000e+00
2.86522534e-03,1.80000000e+00
2.89091299e-03,1.80000000e+00
2.91660063e-03,1.80000000e+00
2.94228827e-03,1.80000000e+00
2.96797592e-03,1.80000000e+00
2.99366356e-03,1.80000000e+00
3.04503885e-03,1.79999973e+00
3.09127661e-03,1.79974884e+00
3.13216039e-03,1.78827221e+00
3.16547037e-03,1.75355220e+00
3.19258598e-03,1.72155809e+00
3.21970159e-03,1.69859051e+00
3.24410564e-03,1.68957849e+00
3.26850969e-03,1.69274645e+00
3.29291374e-03,1.70774898e+00
3.31731779e-03,1.73261064e+00
3.34172184e-03,1.76232232e+00
3.36612588e-03,1.78702034e+00
3.39052993e-03,1.79802660e+00
3.41493398e-03,1.79988877e+00
3.43933803e-03,1.79999683e+00
3.46374208e-03,1.79999993e+00
3.48814613e-03,1.80000000e+00
3.53695422e-03,1.79999999e+00
3.58576232e-03,1.80000000e+00
3.62879553e-03,1.80000000e+00
3.66368186e-03,1.80000000e+00
3.69431322e-03,1.80000000e+00
3.72188144e-03,1.80000000e+00
3.74944966e-03,1.80000000e+00
3.77701787e-03,1.80000000e+00
3.80458609e-03,1.80000000e+00
3.83215431e-03,1.80000000e+00
3.85972253e-03,1.80000000e+00
3.88729075e-03,1.80000000e+00
3.91485897e-03,1.80000000e+00
3.94242719e-03,1.80000000e+00
3.96999541e-03,1.80000000e+00
3.99756363e-03,1.80000000e+00
4.05270007e-03,1.79999908e+00
4.10232286e-03,1.79906365e+00
4.10925212e-03,1.79806841e+00
4.11618138e-03,1.79633844e+00
4.13003990e-03,1.78971512e+00
4.14389842e-03,1.77825194e+00
4.15775693e-03,1.76294497e+00
4.17161545e-03,1.74595892e+00
4.18547397e-03,1.72938716e+00
4.19933249e-03,1.71473683e+00
4.21319101e-03,1.70295796e+00
4.22704953e-03,1.69462786e+00
4.24090805e-03,1.69007309e+00
4.25476657e-03,1.68945454e+00
4.26862508e-03,1.69279001e+00
4.28248360e-03,1.69996899e+00
4.29634212e-03,1.71071868e+00
4.31020064e-03,1.72455493e+00
4.32405916e-03,1.74065834e+00
4.33791768e-03,1.75771631e+00
4.35177620e-03,1.77379501e+00
4.36563471e-03,1.78664794e+00
4.37949323e-03,1.79476919e+00
4.39335175e-03,1.79851446e+00
4.40721027e-03,1.79969565e+00
4.42106879e-03,1.79995268e+00
4.44878583e-03,1.79999893e+00
4.47650286e-03,1.80000033e+00
4.50421990e-03,1.79999965e+00
4.55965398e-03,1.80000034e+00
4.60871195e-03,1.79999965e+00
4.64767755e-03,1.80000034e+00
4.68002730e-03,1.79999965e+00
4.70914207e-03,1.80000034e+00
4.73534536e-03,1.79999966e+00
4.76154865e-03,1.80000034e+00
4.78775194e-03,1.79999966e+00
4.81395523e-03,1.80000034e+00
4.84015853e-03,1.79999966e+00
4.86636182e-03,1.80000034e+00
4.89256511e-03,1.79999966e+00
4.91876840e-03,1.80000034e+00
4.94497169e-03,1.79999966e+00
4.97117499e-03,1.80000034e+00
4.99737828e-03,1.79999966e+00
5.04978486e-03,1.79999977e+00
5.09695079e-03,1.79949431e+00
5.13713344e-03,1.78443308e+00
5.16939819e-03,1.74869621e+00
5.19649236e-03,1.71752986e+00
5.22087713e-03,1.69788619e+00
5.24526189e-03,1.68945175e+00
5.26964665e-03,1.69319026e+00
5.29403141e-03,1.70869609e+00
5.31841617e-03,1.73389808e+00
5.34280093e-03,1.76360979e+00
5.36718569e-03,1.78780315e+00
5.39157045e-03,1.79822008e+00
5.41595521e-03,1.79990280e+00
5.44033997e-03,1.79999762e+00
5.46472473e-03,1.79999960e+00
5.48910949e-03,1.80000034e+00
5.53787902e-03,1.79999965e+00
5.58664854e-03,1.80000034e+00
5.62946873e-03,1.79999965e+00
5.66423567e-03,1.80000034e+00
5.69482689e-03,1.79999965e+00
5.72235898e-03,1.80000034e+00
5.74989107e-03,1.79999966e+00
5.77742317e-03,1.80000034e+00
5.80495526e-03,1.79999966e+00
5.83248735e-03,1.80000034e+00
5.86001944e-03,1.79999966e+00
5.88755154e-03,1.80000034e+00
5.91508363e-03,1.79999966e+00
5.94261572e-03,1.80000034e+00
5.97014781e-03,1.79999966e+00
5.99767991e-03,1.80000034e+00
6.05274409e-03,1.79999874e+00
6.10230186e-03,1.79906616e+00
6.10923280e-03,1.79807208e+00
6.11616375e-03,1.79634400e+00
6.13002564e-03,1.78972443e+00
6.14388753e-03,1.77826270e+00
6.15774941e-03,1.76295394e+00
6.17161130e-03,1.74596404e+00
6.18547319e-03,1.72938806e+00
6.19933508e-03,1.71473434e+00
6.21319697e-03,1.70295360e+00
6.22705886e-03,1.69462349e+00
6.24092074e-03,1.69007071e+00
6.25478263e-03,1.68945613e+00
6.26864452e-03,1.69279743e+00
6.28250641e-03,1.69998385e+00
6.29636830e-03,1.71074210e+00
6.31023019e-03,1.72458721e+00
6.32409207e-03,1.74069837e+00
6.33795396e-03,1.75776065e+00
6.35181585e-03,1.77383742e+00
6.36567774e-03,1.78668084e+00
6.37953963e-03,1.79478827e+00
6.39340152e-03,1.79852206e+00
6.40726340e-03,1.79969767e+00
6.42112529e-03,1.79995306e+00
6.44884907e-03,1.79999894e+00
6.47657285e-03,1.80000033e+00
6.50429662e-03,1.79999966e+00
6.55974418e-03,1.80000034e+00
6.60878798e-03,1.79999966e+00
6.64773741e-03,1.80000034e+00
6.68007986e-03,1.79999966e+00
6.70918807e-03,1.80000034e+00
6.73538546e-03,1.79999966e+00
6.76158284e-03,1.80000034e+00
6.78778023e-03,1.79999966e+00
6.81397762e-03,1.80000034e+00
6.84017500e-03,1.79999966e+00
6.86637239e-03,1.80000034e+00
6.89256978e-03,1.79999966e+00
6.91876716e-03,1.80000034e+00
6.94496455e-03,1.79999966e+00
6.97116194e-03,1.80000034e+00
6.99735933e-03,1.79999966e+00
7.04975410e-03,1.79999977e+00
7.09690940e-03,1.79949679e+00
7.13709539e-03,1.78446482e+00
7.16936765e-03,1.74873397e+00
7.19646113e-03,1.71756123e+00
7.22084527e-03,1.69790492e+00
7.24522941e-03,1.68945494e+00
7.26961355e-03,1.69317697e+00
7.29399769e-03,1.70866721e+00
7.31838183e-03,1.73385766e+00
7.34276597e-03,1.76356825e+00
7.36715011e-03,1.78777733e+00
7.39153424e-03,1.79821363e+00
7.41591838e-03,1.79990232e+00
7.44030252e-03,1.79999760e+00
7.46468666e-03,1.79999960e+00
7.48907080e-03,1.80000034e+00
7.53783908e-03,1.79999966e+00
7.58660736e-03,1.80000034e+00
7.62943613e-03,1.79999966e+00
7.66420847e-03,1.80000034e+00
7.69480160e-03,1.79999966e+00
7.72233541e-03,1.80000034e+00
7.74986923e-03,1.79999966e+00
7.77740305e-03,1.80000034e+00
7.80493687e-03,1.79999966e+00
7.83247069e-03,1.80000034e+00
7.86000450e-03,1.79999966e+00
7.88753832e-03,1.80000034e+00
7.91507214e-03,1.79999966e+00
7.94260596e-03,1.80000034e+00
7.97013977e-03,1.79999966e+00
7.99767359e-03,1.80000034e+00
8.05274123e-03,1.79999874e+00
8.10230210e-03,1.79906613e+00
8.10923299e-03,1.79807205e+00
8.11616389e-03,1.79634395e+00
8.13002569e-03,1.78972439e+00
8.14388748e-03,1.77826275e+00
8.15774927e-03,1.76295411e+00
8.17161107e-03,1.74596432e+00
8.18547286e-03,1.72938843e+00
8.19933466e-03,1.71473475e+00
8.21319645e-03,1.70295398e+00
8.22705825e-03,1.69462378e+00
8.24092004e-03,1.69007084e+00
8.25478184e-03,1.68945605e+00
8.26864363e-03,1.69279709e+00
8.28250542e-03,1.69998320e+00
8.29636722e-03,1.71074114e+00
8.31022901e-03,1.72458593e+00
8.32409081e-03,1.74069683e+00
8.33795260e-03,1.75775899e+00
8.35181440e-03,1.77383587e+00
8.36567619e-03,1.78667965e+00
8.37953798e-03,1.79478759e+00
8.39339978e-03,1.79852179e+00
8.40726157e-03,1.79969760e+00
8.42112337e-03,1.79995305e+00
8.44884696e-03,1.79999894e+00
8.47657054e-03,1.80000033e+00
8.50429413e-03,1.79999966e+00
8.55974131e-03,1.80000034e+00
8.60878557e-03,1.79999966e+00
8.64773552e-03,1.80000034e+00
8.68007820e-03,1.79999966e+00
8.70918662e-03,1.80000034e+00
8.73538419e-03,1.79999966e+00
8.76158177e-03,1.80000034e+00
8.78777934e-03,1.79999966e+00
8.81397692e-03,1.80000034e+00
8.84017449e-03,1.79999966e+00
8.86637206e-03,1.80000034e+00
8.89256964e-03,1.79999966e+00
8.91876721e-03,1.80000034e+00
8.94496479e-03,1.79999966e+00
8.97116236e-03,1.80000034e+00
8.99735994e-03,1.79999966e+00
9.04975508e-03,1.79999977e+00
9.09691072e-03,1.79949671e+00
9.13709661e-03,1.78446380e+00
9.16936862e-03,1.74873277e+00
9.19646213e-03,1.71756023e+00
9.22084629e-03,1.69790432e+00
9.24523045e-03,1.68945483e+00
9.26961461e-03,1.69317739e+00
9.29399876e-03,1.70866813e+00
9.31838292e-03,1.73385895e+00
9.34276708e-03,1.76356958e+00
9.36715124e-03,1.78777815e+00
9.39153540e-03,1.79821383e+00
9.41591956e-03,1.79990233e+00
9.44030372e-03,1.79999761e+00
9.46468787e-03,1.79999960e+00
9.48907203e-03,1.80000034e+00
9.53784035e-03,1.79999966e+00
9.58660867e-03,1.80000034e+00
9.62943717e-03,1.79999966e+00
9.66420933e-03,1.80000034e+00
9.69480240e-03,1.79999966e+00
9.72233616e-03,1.80000034e+00
9.74986993e-03,1.79999966e+00
9.77740369e-03,1.80000034e+00
9.80493745e-03,1.79999966e+00
9.83247122e-03,1.80000034e+00
9.86000498e-03,1.79999966e+00
9.88753874e-03,1.80000034e+00
9.91507250e-03,1.79999966e+00
9.94260627e-03,1.80000034e+00
9.97014003e-03,1.79999966e+00
9.99767379e-03,1.80000034e+00
1.00000000e-02,1.79999966e+00
